Influencer_ID,Influencer_Name,Platform,Subscribers,Post_Categories,Country,Visits,Likes,Comments,Engagement_Rate(%),Profile_Link
INF00856,redetv,YouTube,13300000,Unknown,Brasil,4200,152,3,0.0011654135338345865,http://youtube.com/channel/UCd7VVhgnd2eCv9JEghvR_1w
INF00857,GustavoParodiasOficial,YouTube,13300000,Unknown,Brasil,99400,6600,38,0.04990977443609022,http://youtube.com/channel/UCvQzqiZc4RXGODrIbSwMseQ
INF00858,twentyonepilots,YouTube,13300000,Unknown,Estados Unidos,0,0,0,0.0,http://youtube.com/channel/UCBQZwaNPFfJ1gZ1fLZpAEGw
INF00859,JesseAndMike,YouTube,13300000,Unknown,Estados Unidos,241600,3600,140,0.028120300751879698,http://youtube.com/channel/UCV1JuyDF9Re3HyXFGeqnC7Q
INF00860,sulgiyang,YouTube,13200000,"ASMR, Comida y bebida",Estados Unidos,404700,7900,283,0.061992424242424245,http://youtube.com/channel/UCIafb9ExBkh4WsCOagZssZA
INF00861,FreeFireIndiaOfficial,YouTube,13200000,Unknown,India,101300,7400,467,0.05959848484848485,http://youtube.com/channel/UC4AB0_ectRryjCF_ugD0U8w
INF00862,DRJRecordsspecials,YouTube,13200000,Unknown,India,9600,40,1,0.0003106060606060606,http://youtube.com/channel/UCc3MkAZEckswe3SzdiVIvgA
INF00863,TopViralTalentYT,YouTube,13200000,Unknown,Estados Unidos,8100,132,6,0.0010454545454545456,http://youtube.com/channel/UCDnEa2HC2eeT-cN3pAKnNTw
INF00864,JoojNatu,YouTube,13200000,Unknown,Brasil,1500000,176600,495,1.3416287878787878,http://youtube.com/channel/UCVVksn-TMGmkwvirl_neMWw
INF00865,CuteWolfVideos,YouTube,13100000,"Películas, Juguetes",Unknown,50000,151,0,0.0011526717557251908,http://youtube.com/channel/UCWGVQIspqW2j9M3-qLQ0HDg
INF00866,DuoTiempoDeSol,YouTube,13100000,"Música y baile, Animación",Unknown,43700,137,0,0.0010458015267175572,http://youtube.com/channel/UC7S5EdUYwr7r04MrIjtSPNg
INF00867,gymvirtual,YouTube,13100000,"Fitness, Salud y autoayuda",México,54900,1700,43,0.013305343511450381,http://youtube.com/channel/UCfwP2H1CDJvssk6g2pm8EgA
INF00868,KiryaKolesnikov,YouTube,13100000,Vlogs diarios,Estados Unidos,37800,1100,6,0.008442748091603053,http://youtube.com/channel/UCb1FVtN2EvxaeoBBMtOXg7g
INF00869,EnglishConnectionByKanchan,YouTube,13100000,Educación,India,194800,10900,140,0.08427480916030534,http://youtube.com/channel/UCsUBoYj2kqgj72g6kgzGPMg
INF00870,HeidiandZidaneEsp,YouTube,13100000,Vlogs diarios,Unknown,96700,283,0,0.0021603053435114506,http://youtube.com/channel/UCLVpcJc8LpFclTssfVZ5wGw
INF00871,WatchMeOff,YouTube,13100000,"Películas, Animación",Rusia,88700,2600,24,0.02003053435114504,http://youtube.com/channel/UCGTl_sQxago30b5vfoMomCg
INF00872,JugnuKidsvideos,YouTube,13100000,"Comida y bebida, Juguetes",Unknown,28200,94,0,0.0007175572519083969,http://youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg
INF00873,watchHitsHD,YouTube,13100000,Unknown,India,26500,363,15,0.002885496183206107,http://youtube.com/channel/UCG_rbseeLwlrNVJg-p4M3rA
INF00874,ColeAndSav,YouTube,13100000,Vlogs diarios,Estados Unidos,230000,7800,637,0.06440458015267175,http://youtube.com/channel/UC4-CH0epzZpD_ARhxCx6LaQ
INF00875,NbaYoungBoy,YouTube,13100000,Música y baile,Estados Unidos,720400,28100,1000,0.22213740458015266,http://youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA
INF00876,francoescamilla,YouTube,13100000,"Películas, Humor",México,283700,15700,97,0.120587786259542,http://youtube.com/channel/UCUjrDJokSX8JavRwy5iUOkA
INF00877,FirstWeFeast,YouTube,13100000,Películas,Estados Unidos,149300,5500,132,0.04299236641221374,http://youtube.com/channel/UCPD_bxCRGpmmeQcbe2kpPaA
INF00878,officialjassrecords,YouTube,13100000,Música y baile,India,11300,525,5,0.004045801526717557,http://youtube.com/channel/UC9Gjog4enoDWRWTaYuamx1g
INF00879,bibotoyskor,YouTube,13000000,Unknown,Unknown,13700,0,0,0.0,http://youtube.com/channel/UCL4r3zHKJpcJ0jEYSbobk1Q
INF00880,Super_Senya_RU,YouTube,13000000,"Animación, Juguetes",Unknown,28400,138,0,0.0010615384615384614,http://youtube.com/channel/UCTn9Vyy-3fzLIr0bqhIbNig
INF00881,NickDiGiovanni,YouTube,13000000,Comida y bebida,Estados Unidos,4200000,217700,2100,1.6907692307692308,http://youtube.com/channel/UCMyOj6fhvKFMjxUCp3b_3gA
INF00882,Enterr10Rangeela,YouTube,13000000,Música y baile,India,16500,228,4,0.0017846153846153845,http://youtube.com/channel/UCR_-PUF53tA5-Iyp4Ncfjcg
INF00883,suhaofun,YouTube,13000000,Vlogs diarios,Estados Unidos,228200,4300,3,0.033100000000000004,http://youtube.com/channel/UCMMvwLa0iHtOhIGAb9O_DKA
INF00884,MundoBita,YouTube,13000000,"Música y baile, Películas",Unknown,350200,10200,0,0.07846153846153846,http://youtube.com/channel/UC0cGVh96osM7yqMu0ENSKKQ
INF00885,ctctv,YouTube,13000000,"Películas, Animación",Rusia,523700,4700,239,0.03799230769230769,http://youtube.com/channel/UCdmauIL-k-djcct-yMrf82A
INF00886,TeremokTV,YouTube,12900000,Unknown,Unknown,74300,134,0,0.0010387596899224807,http://youtube.com/channel/UCxWkNmkeAL52VTJyBlIJRXw
