Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement_Rate
lizasoberano,319,BeautyCinema & Actors/actressesModeling,17300000.0,Philippines,,,
bellapoarch,320,LifestyleMusic,14100000.0,United States,,,
bhuvan.bam22,321,Cinema & Actors/actresses,14800000.0,India,,,
txt_bighit,322,Family,12500000.0,Indonesia,,,
dahhyunnee,323,,5300000.0,United States,0.0,1800000.0,0.0
jamescharles,324,Beauty,22900000.0,United States,,,
taehyung.bighitentertainment,325,Management & MarketingMusic,10000000.0,Indonesia,,,
postmalone,326,Music,22400000.0,United States,,,
ssinz7,327,MusicCinema & Actors/actresses,13700000.0,Indonesia,,,
o.dembele7,328,Sports with a ball,10900000.0,Spain,,,
ranveersingh,329,Cinema & Actors/actressesModelingClothing & Outfits,40100000.0,India,,,
jinyoung_0922jy,330,Music,9900000.0,Indonesia,,,
luisasonza,331,MusicLifestyle,29500000.0,Brazil,,,
bellathorne,332,MusicArt/Artists,25400000.0,United States,,,
ksi,333,Music,11600000.0,United Kingdom,,,
kevindebruyne,334,Sports with a ball,18000000.0,United Kingdom,,,
marvel,335,Cinema & Actors/actressesComics & sketchesShows,65400000.00000001,United States,,,
arigameplays,336,,11000000.0,Mexico,,,
fedez,337,Music,14200000.0,Italy,,,
prattprattpratt,338,Cinema & Actors/actresses,37400000.0,United States,,,
itzy.all.in.us,339,Music,17200000.0,Indonesia,,,
lestykejora,340,Music,25700000.0,Indonesia,,,
jbalvin,341,Music,52800000.0,Mexico,,,
kehlani,342,MusicFamily,14000000.0,United States,,,
manchesterunited,343,Sports with a ball,59000000.0,United Kingdom,,,
peytonlist,344,Cinema & Actors/actresses,20200000.0,United States,,,
wi__wi__wi,345,LifestyleMusic,10100000.0,South Korea,,,
dixiedamelio,346,MusicClothing & Outfits,25000000.0,United States,,,
vinniehacker,347,Lifestyle,5800000.0,United States,,1500000.0,
madhuridixitnene,348,MusicCinema & Actors/actresses,32000000.0,India,,,
mathildtantot,349,LifestyleModeling,10200000.0,United States,,,
keerthysureshofficial,350,FashionCinema & Actors/actresses,13400000.0,India,,,
ibaillanos,351,Art/Artists,7800000.0,Spain,,1000000.0,
easymoneysniper,352,LifestyleSports with a ball,13100000.0,United States,,,
michelleobama,353,Finance & EconomicsBusiness & CareersFamily,50300000.0,United States,,,
ross_lynch,354,MusicCinema & Actors/actresses,10200000.0,United States,,,
attahalilintar,355,Art/ArtistsShows,23900000.0,Indonesia,,,
lizgillz,356,MusicCinema & Actors/actresses,14100000.0,Mexico,,,
cbum,357,Fitness & Gym,9000000.0,United States,,,
hassan_reyvandi,358,Cinema & Actors/actressesHumor & Fun & Happiness,19500000.0,Iran,,,
nicki.nicole,359,Music,12200000.0,Argentina,,,
demirose,360,ModelingLifestyleFashion,19900000.0,United States,,,
natashawilona12,361,Beauty,38900000.0,Indonesia,,,
lexibrookerivera,362,ShowsHumor & Fun & Happiness,8500000.0,United States,,,
thebursin,363,Cinema & Actors/actresses,10700000.0,Russia,,,
imouniroy,364,Cinema & Actors/actresses,23900000.0,India,,,
yasmine_sabri,365,Cinema & Actors/actressesLifestyle,19400000.0,Egypt,,,
kevinhart4real,366,Cinema & Actors/actresses,148800000.0,United States,,,
sidmalhotra,367,Cinema & Actors/actressesModeling,19900000.0,India,,,
sommerray,368,Modeling,26500000.0,United States,,,
brunamarquezine,369,Cinema & Actors/actresses,43100000.0,Brazil,,,
miguel.g.herran,370,Cinema & Actors/actresses,14100000.0,Brazil,,,
louispartridge_,371,Cinema & Actors/actresses,7600000.0,United States,,1000000.0,
pubity,372,Humor & Fun & Happiness,31800000.0,United States,,,
taina,373,Music,16000000.0,Brazil,,,
alok,374,MusicArt/Artists,27700000.0,Brazil,,,
camilo,375,Music,27500000.0,Argentina,,,
alwaysramcharan,376,Cinema & Actors/actresses,8100000.0,India,,,
lilyjcollins,377,Cinema & Actors/actresses,27000000.0,United States,,,
lilnasx,378,Music,12500000.0,United States,,,
sportscenter,379,Sports with a ballShows,31300000.0,United States,,,
phil.coutinho,380,Sports with a ball,25000000.0,Brazil,,,
thenotoriousmma,381,Fitness & Gym,45800000.0,United States,,,
ms_puiyi,382,Adult content,18700000.0,United States,,,
mo.on_air,383,,4900000.0,Indonesia,1300000.0,1500000.0,0.2653
nickjonas,384,MusicArt/Artists,32900000.0,United States,,,
hyunah_aa,385,Music,18100000.0,South Korea,,,
todayis_wendy,386,,6900000.0,Indonesia,,1100000.0,
weareone.exo,387,Music,10000000.0,Indonesia,,,
lildurk,388,MusicArt/Artists,13900000.0,United States,,,
hunterschafer,389,,7300000.0,United States,,,
sadiomaneofficiel,390,Sports with a ball,11600000.0,United Kingdom,,,
9gag,391,Humor & Fun & Happiness,58200000.0,Indonesia,,,
