Influencer ID,Account,Platform,Follower Count,Post Engagements,Engagement Rate (%),Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
INF0144,anaraquelhz,TikTok,2600000.0,395900,15.23,4500000.0,376900.0,4700.0,14300.0,2022-02-07 16:54:35.641971
INF0145,mr_paul.boy,TikTok,6700000.0,816400,12.19,4100000.0,806800.0,5300.0,4300.0,2022-02-07 16:54:35.641971
INF0146,connoralik,TikTok,7400000.0,651600,8.81,8300000.000000001,645700.0,3100.0,2800.0,2022-02-07 16:54:35.641971
INF0147,unkabogableviceganda,TikTok,8199999.999999999,818700,9.98,7500000.0,813500.0,3300.0,1900.0,2022-02-07 16:54:35.641971
INF0148,ivanzolo2004,TikTok,3400000.0,423000,12.44,5500000.0,409000.0,11600.0,2400.0,2022-02-07 16:54:35.641971
INF0149,charlieputh,TikTok,15400000.0,786000,5.1,5400000.0,778700.0,5700.0,1600.0,2022-02-07 16:54:35.641971
INF0150,fayx.lct,TikTok,2900000.0,474000,16.34,2600000.0,447100.0,25700.0,1200.0,2022-02-07 16:54:35.641971
INF0151,thecoreyb,TikTok,8300000.000000001,449500,5.42,3300000.0,427500.0,1800.0,20200.0,2022-02-07 16:54:35.641971
INF0152,liquidverve,TikTok,1100000.0,929800,84.53,10100000.0,926500.0,1400.0,1900.0,2022-02-07 16:54:35.641971
INF0153,lai8747,TikTok,1800000.0,459000,25.5,5300000.0,446100.0,8100.0,4800.0,2022-02-07 16:54:35.641971
INF0154,max7424453118,TikTok,2800000.0,587300,20.98,3500000.0,572600.0,5200.0,9500.0,2022-02-07 16:54:35.641971
INF0155,bella.k.hadid,TikTok,4000000.0,772600,19.31,4100000.0,763100.0,6300.0,3200.0,2022-02-07 16:54:35.641971
INF0156,bayashi.tiktok,TikTok,19300000.0,681200,3.53,5800000.0,673900.0,5500.0,1800.0,2022-02-07 16:54:35.641971
INF0157,virginiafonseca,TikTok,29100000.0,772200,2.65,6000000.0,766000.0,4400.0,1800.0,2022-02-07 16:54:35.641971
INF0158,pigpongyt,TikTok,2500000.0,630300,25.21,9000000.0,625300.0,2500.0,2500.0,2022-02-07 16:54:35.641971
INF0159,halsey,TikTok,4100000.0,703400,17.16,3700000.0,692500.0,6200.0,4700.0,2022-02-07 16:54:35.641971
INF0160,com.yuta0305,TikTok,960300.0,379200,39.49,2500000.0,346300.0,20100.0,12800.0,2022-02-07 16:54:35.641971
INF0161,aliprasetya6,TikTok,6400.0,481300,7520.31,5100000.0,469900.0,4000.0,7400.0,2022-02-07 16:54:35.641971
INF0162,joshiiwuhhh,TikTok,3000000.0,728600,24.29,6300000.0,722700.0,1600.0,4300.0,2022-02-07 16:54:35.641971
INF0163,yesikanoemitamayo,TikTok,936200.0,1009000,107.78,3000000.0,1000000.0,2400.0,6600.0,2022-02-07 16:54:35.641971
INF0164,eyavanana,TikTok,8700000.0,780200,8.97,4900000.0,773100.0,5100.0,2000.0,2022-02-07 16:54:35.641971
INF0165,arigameplays,TikTok,18000000.0,665000,3.69,4800000.0,656500.0,5500.0,3000.0,2022-02-07 16:54:35.641971
INF0166,thallyssonsb,TikTok,7700000.0,572200,7.43,3400000.0,558000.0,5400.0,8800.0,2022-02-07 16:54:35.641971
INF0167,jamescharles,TikTok,35700000.0,679200,1.9,6100000.0,672700.0,5400.0,1100.0,2022-02-07 16:54:35.641971
INF0168,kervo.dolo,TikTok,4600000.0,629700,13.69,4300000.0,619800.0,3000.0,6900.0,2022-02-07 16:54:35.641971
INF0169,tombrady,TikTok,3300000.0,500000,15.15,3800000.0,485700.0,10600.0,3700.0,2022-02-07 16:54:35.641971
INF0170,thealpharaid,TikTok,175500.0,413500,235.61,4400000.0,398600.0,3800.0,11100.0,2022-02-07 16:54:35.641971
